"layer","cellID","Region","RegionID","District","DistrictID","Ward","WardID","Village","VillageID","VillCens","VillIDCens","PA","Urban"
1,32437,"Lindi",2,"Nachingwea",2,"Mneromiembeni",315,"Mneromiembeni",900,"Mneromiembeni",441,0,0
1,32438,"Lindi",2,"Nachingwea",2,"Mneromiembeni",315,"Mneromiembeni",900,"Mneromiembeni",441,0,0
1,32439,"Lindi",2,"Nachingwea",2,"Ruponda",314,"Mwananyamala",2703,"Mwananyamala",278,0,0
1,32440,"Lindi",2,"Nachingwea",2,"Ruponda",314,"Mwananyamala",2703,"Mwananyamala",278,0,0
1,32441,"Lindi",2,"Nachingwea",2,"Ruponda",314,"Ruponda",554,"Ruponda",1708,0,0
1,32442,"Lindi",2,"Nachingwea",2,"Ruponda",314,"Ruponda",554,"Ruponda",1708,0,0
1,32443,"Lindi",2,"Nachingwea",2,"Marambo",335,"Marambo",702,"Marambo",154,0,0
1,32444,"Lindi",2,"Nachingwea",2,"Marambo",335,"Marambo",702,"Marambo",154,0,0
1,32445,"Lindi",2,"Nachingwea",2,"Marambo",335,"Litula",1770,"Litula",651,0,0
1,32446,"Lindi",2,"Nachingwea",2,"Chiola",325,"Chingunduli",2161,"Chingunduli",2270,0,0
1,32447,"Lindi",2,"Nachingwea",2,"Chiola",325,"Chingunduli",2161,"Chingunduli",2270,0,0
1,32448,"Lindi",2,"Nachingwea",2,"Chiola",325,"Chiola",2242,"Chiola",2863,0,0
1,32449,"Lindi",2,"Nachingwea",2,"Chiola",325,"Chiola",2242,"Chiola",2863,0,0
1,32450,"Lindi",2,"Nachingwea",2,"Chiola",325,"Mtimbo",1401,"Mtimbo",520,0,0
1,32451,"Lindi",2,"Nachingwea",2,"Chiola",325,"Mtimbo",1401,"Mtimbo",520,0,0
1,32452,"Lindi",2,"Ruangwa",24,"Chienjele",363,"Ng'imbwa",2301,"Ng'imbwa",125,0,0
1,32453,"Lindi",2,"Ruangwa",24,"Chienjele",363,"Ng'imbwa",2301,"Ng'imbwa",125,0,0
1,32454,"Lindi",2,"Ruangwa",24,"Nandagala",376,"Namahema A",2750,"Namahema A",548,0,0
1,32455,"Lindi",2,"Ruangwa",24,"Nandagala",376,"Namahema A",2750,"Namahema A",548,0,0
1,32456,"Lindi",2,"Ruangwa",24,"Nandagala",376,"Nandagala B",1719,"Nandagala B",2850,0,0
1,32457,"Lindi",2,"Ruangwa",24,"Mnacho",368,"Ng'au",1735,"Ng'au",659,0,0
1,32458,"Lindi",2,"Ruangwa",24,"Mnacho",368,"Ng'au",1735,"Ng'au",659,0,0
1,32459,"Lindi",2,"Ruangwa",24,"Mnacho",368,"Ng'au",1735,"Ng'au",659,0,0
1,32460,"Lindi",2,"Ruangwa",24,"Mnacho",368,"Ng'au",1735,"Ng'au",659,0,0
1,32461,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,32462,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,32463,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,32464,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,32465,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,32466,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,32467,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mndawa",1274,"Mndawa",2498,0,0
1,32468,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mndawa",1274,"Mndawa",2498,0,0
1,32469,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mndawa",1274,"Mndawa",2498,0,0
1,32470,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mndawa",1274,"Mndawa",2498,0,0
1,32471,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mndawa",1274,"Mndawa",2498,0,0
1,32472,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mnamba",1761,"Mnamba",2291,0,0
1,32473,"Lindi",2,"Lindi Rural",22,"Nyangao",293,"Nyangao  A",352,"Nyangao  A",462,0,0
1,32474,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Chikombe",867,"Chikombe",2095,0,0
1,32475,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Mkanga II",1201,"Mkanga II",170,0,0
1,32476,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Mkanga II",1201,"Mkanga II",170,0,0
1,32477,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Mkanga II",1201,"Mkanga II",170,0,0
1,32478,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Mkanga II",1201,"Mkanga II",170,0,0
1,32479,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Mkanga II",1201,"Mkanga II",170,0,0
1,32480,"Lindi",2,"Lindi Rural",22,"Nyengedi",295,"Nyengedi B",2272,"Nyengedi B",503,0,0
1,32481,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Chiodya B",358,"Chiodya B",622,0,0
1,32482,"Lindi",2,"Lindi Rural",22,"Mtua",296,"Kilimahewa B",629,"Kilimahewa B",1805,0,0
1,32483,"Lindi",2,"Lindi Rural",22,"Mtua",296,"Kilimahewa A",2389,"Kilimahewa A",1395,0,0
1,32484,"Lindi",2,"Lindi Rural",22,"Longa",303,"Longa",1105,"Longa",1241,0,0
1,32485,"Lindi",2,"Lindi Rural",22,"Kiwalala",287,"Mmangawanga",2432,"Mmangawanga",2143,0,0
1,32486,"Lindi",2,"Lindi Rural",22,"Kiwalala",287,"Mmangawanga",2432,"Mmangawanga",2143,0,0
1,32487,"Lindi",2,"Lindi Rural",22,"Kiwalala",287,"Ruo",164,"Ruo",647,0,0
1,32488,"Lindi",2,"Lindi Rural",22,"Kiwalala",287,"Ruo",164,"Ruo",647,0,0
1,32489,"Lindi",2,"Lindi Rural",22,"Kiwalala",287,"Ruo",164,"Ruo",647,0,0
1,32490,"Lindi",2,"Lindi Rural",22,"Kiwalala",287,"Ruo",164,"Ruo",647,0,0
1,32491,"Lindi",2,"Lindi Rural",22,"Kiwalala",287,"Mpembe",194,"Mpembe",2593,0,0
