"ID","biter_ID","ID_species","Biter_species","ID_Time_diff","Biter_Time_diff","ID_lat","ID_long","Biter_lat","Biter_long","Year","ID_accuracy","Biter_accuracy","Serial_Int","Bite_dist","Species_trans"
463,464,1,1,195,73,NA,NA,NA,NA,2011,28,28,122,5665.27799675513,"DD"
466,465,1,1,500,225,NA,NA,NA,NA,2011,7,7,275,4505.03514337793,"DD"
464,438,1,2,73,61,NA,NA,NA,NA,2011,28,7,12,64362.5534238865,"WD"
470,469,1,1,878,221,NA,NA,NA,NA,2011,7,7,657,667.397198698295,"DD"
469,462,1,1,221,220,NA,NA,NA,NA,2011,7,7,1,21263.8508606819,"DD"
465,469,1,1,225,221,NA,NA,NA,NA,2011,7,7,4,10742.5418231063,"DD"
471,467,1,1,1525,926,NA,NA,NA,NA,2013,7,7,599,1256.74544814921,"DD"
467,470,1,1,926,878,NA,NA,NA,NA,2013,7,7,48,537.101489187549,"DD"
472,462,1,1,448,220,NA,NA,NA,NA,2011,7,7,228,26611.1567948527,"DD"
468,472,1,1,453,448,NA,NA,NA,NA,2012,7,7,5,4358.29623663939,"DD"
473,472,1,1,454,448,NA,NA,NA,NA,2012,7,7,6,157.487036332577,"DD"
479,481,2,2,531,165,NA,NA,NA,NA,2011,7,28,366,4873.39534473226,"WW"
476,475,1,1,524,498,NA,NA,NA,NA,2012,7,7,26,1742.58014782131,"DD"
477,154,1,2,1257,1200,NA,NA,NA,NA,2014,7,7,57,11721.6555107874,"WD"
474,476,2,1,2237,524,NA,NA,NA,NA,2012,28,7,1713,1276.51309549628,"DW"
475,473,1,1,498,454,NA,NA,NA,NA,2012,7,7,44,12434.9732806074,"DD"
478,477,1,1,1452,1257,NA,NA,NA,NA,2014,7,7,195,468.395709429913,"DD"
487,488,1,1,2005,2005,NA,NA,NA,NA,2016,28,28,0,0,"DD"
488,487,1,1,2005,2005,NA,NA,NA,NA,2016,28,28,0,0,"DD"
480,489,1,1,1899,1885,NA,NA,NA,NA,2016,28,28,14,19224.9106844679,"DD"
485,286,2,2,73,73,NA,NA,NA,NA,2011,28,7,0,23399.2954084334,"WW"
484,486,2,2,114,104,NA,NA,NA,NA,2011,7,28,10,537.221380351445,"WW"
486,485,2,2,104,73,NA,NA,NA,NA,2011,28,28,31,565.437687489944,"WW"
481,484,2,2,165,114,NA,NA,NA,NA,2011,28,7,51,22004.5472652576,"WW"
482,489,1,1,1992,1885,NA,NA,NA,NA,2016,28,28,107,4228.36224069604,"DD"
489,490,1,1,1885,1587,NA,NA,NA,NA,2015,28,7,298,1972.884697065,"DD"
491,476,1,1,545,524,NA,NA,NA,NA,2012,7,7,21,15349.6191118237,"DD"
490,484,1,2,1587,114,NA,NA,NA,NA,2011,7,7,1473,5905.49656096347,"WD"
492,491,1,1,556,545,NA,NA,NA,NA,2012,7,7,11,601.937818991775,"DD"
530,532,1,1,538,404,NA,NA,NA,NA,2012,7,7,134,4590.02181441323,"DD"
533,531,1,1,639,610,NA,NA,NA,NA,2012,7,7,29,8002.57485219866,"DD"
535,534,1,2,1320,411,NA,NA,NA,NA,2012,7,7,909,8318.23936712349,"WD"
531,530,1,1,610,538,NA,NA,NA,NA,2012,7,7,72,4692.79167276983,"DD"
532,463,1,1,404,195,NA,NA,NA,NA,2011,7,28,209,5881.61770471236,"DD"
534,532,2,1,411,404,NA,NA,NA,NA,2012,7,7,7,10894.4923127842,"DW"
537,538,2,1,350,220,NA,NA,NA,NA,2011,7,7,130,23535.639714086,"DW"
546,553,1,2,1291,922,NA,NA,NA,NA,2013,7,7,369,5687.4223258736,"WD"
542,551,1,1,887,773,NA,NA,NA,NA,2013,7,7,114,2193.68889935603,"DD"
543,548,1,1,2334,2068,NA,NA,NA,NA,2016,7,28,266,9744.98107541981,"DD"
539,559,1,1,199,195,NA,NA,NA,NA,2011,7,28,4,29882.2774602882,"DD"
544,546,1,1,1508,1291,NA,NA,NA,NA,2014,7,7,217,2463.15514004308,"DD"
540,539,1,1,222,199,NA,NA,NA,NA,2011,7,7,23,5338.56025758423,"DD"
536,535,1,1,1699,1320,NA,NA,NA,NA,2014,7,7,379,19161.9914701686,"DD"
545,547,1,1,245,245,NA,NA,NA,NA,2011,7,7,0,6961.67108165371,"DD"
538,559,1,1,220,195,NA,NA,NA,NA,2011,7,28,25,28175.5322163571,"DD"
541,566,1,1,1955,1656,NA,NA,NA,NA,2015,7,28,299,3605.75914965186,"DD"
549,550,1,1,753,724,NA,NA,NA,NA,2012,7,7,29,637.965671039262,"DD"
566,544,1,1,1656,1508,NA,NA,NA,NA,2015,28,7,148,6686.36956162447,"DD"
550,547,1,1,724,245,NA,NA,NA,NA,2011,7,7,479,2707.8262580295,"DD"
551,549,1,1,773,753,NA,NA,NA,NA,2013,7,7,20,217.664151138626,"DD"
548,541,1,1,2068,1955,NA,NA,NA,NA,2016,28,7,113,2835.16219417249,"DD"
563,564,1,1,1643,1642,NA,NA,NA,NA,2015,28,28,1,0,"DD"
564,562,1,1,1642,1626,NA,NA,NA,NA,2015,28,28,16,3.67506075800119,"DD"
565,564,1,1,1657,1642,NA,NA,NA,NA,2015,28,28,15,0,"DD"
560,559,1,1,451,195,NA,NA,NA,NA,2011,14,28,256,9407.26396310359,"DD"
553,542,2,1,922,887,NA,NA,NA,NA,2013,7,7,35,4877.65465144298,"DW"
554,551,1,1,782,773,NA,NA,NA,NA,2013,7,7,9,2814.28071663126,"DD"
562,555,1,1,1626,533,NA,NA,NA,NA,2012,28,7,1093,2794.11376672442,"DD"
552,554,1,1,804,782,NA,NA,NA,NA,2013,7,7,22,347.848636079759,"DD"
547,545,1,1,245,245,NA,NA,NA,NA,2011,7,7,0,6961.6710816538,"DD"
557,565,1,1,2177,1657,NA,NA,NA,NA,2015,7,28,520,3856.31557520354,"DD"
558,553,1,2,926,922,NA,NA,NA,NA,2013,7,7,4,6970.77864515483,"WD"
559,463,1,1,195,195,NA,NA,NA,NA,2011,28,28,0,81147.5003783416,"DD"
561,560,1,1,497,451,NA,NA,NA,NA,2012,7,14,46,19.3926201230849,"DD"
555,561,1,1,533,497,NA,NA,NA,NA,2012,7,7,36,8702.50016663793,"DD"
800,833,2,1,2738,2615,NA,NA,NA,NA,2018,7,7,123,5767.95945293204,"DW"
802,833,2,1,2615,2615,NA,NA,NA,NA,2018,7,7,0,12170.5236541151,"DW"
803,802,1,2,2903,2615,NA,NA,NA,NA,2018,7,7,288,429.66728352755,"WD"
804,802,1,2,2675,2615,NA,NA,NA,NA,2018,7,7,60,4556.1699920321,"WD"
809,813,2,1,2466,2357,NA,NA,NA,NA,2017,7,28,109,10085.2619508208,"DW"
822,821,1,1,2540,2235,NA,NA,NA,NA,2017,7,7,305,50.8361024730562,"DD"
813,818,1,1,2357,2312,NA,NA,NA,NA,2017,28,28,45,1806.86451329229,"DD"
818,817,1,1,2312,2260,NA,NA,NA,NA,2017,28,7,52,186.372326880771,"DD"
817,815,1,1,2260,2237,NA,NA,NA,NA,2017,7,28,23,1994.13972901439,"DD"
814,813,1,1,2701,2357,NA,NA,NA,NA,2017,7,28,344,190.085375676757,"DD"
823,821,1,1,2239,2235,NA,NA,NA,NA,2017,7,7,4,12278.0046956658,"DD"
