"layer","cellID","District","DistrictID","Village","VillageID","PA"
1,534,"Serengeti",1,"Kenyana",17,0
1,535,"Serengeti",1,"Musati",13,0
1,536,"Serengeti",1,"Musati",13,0
1,537,"Serengeti",1,"Kebanchabancha",15,0
1,538,"Serengeti",1,"Kebanchabancha",15,0
1,539,"Serengeti",1,"Gesarya",19,0
1,540,"Serengeti",1,"Gesarya",19,0
1,541,"Serengeti",1,"Gesarya",19,0
1,542,"Serengeti",1,"Gesarya",19,0
1,543,"Serengeti",1,"Manyata",25,0
1,544,"Serengeti",1,"Manyata",25,0
1,545,"Serengeti",1,"Manyata",25,0
1,546,"Serengeti",1,"Nyamakendo",24,0
1,547,"Serengeti",1,"Mbalibali",85,0
1,548,"Serengeti",1,"Mbalibali",85,0
1,549,"Serengeti",1,"Tamkeri",86,1
1,550,"Serengeti",1,"Tamkeri",86,1
1,551,"Serengeti",1,"Tamkeri",86,1
1,552,"Serengeti",1,"Tamkeri",86,1
1,553,"Serengeti",1,"Tamkeri",86,1
1,554,"Serengeti",1,"Tamkeri",86,1
1,555,"Serengeti",1,"Tamkeri",86,1
1,556,"Serengeti",1,"Tamkeri",86,1
1,557,"Serengeti",1,"Tamkeri",86,1
1,558,"Serengeti",1,"Tamkeri",86,1
1,559,"Serengeti",1,"Tamkeri",86,1
1,560,"Serengeti",1,"Tamkeri",86,1
1,561,"Serengeti",1,"Tamkeri",86,1
1,562,"Serengeti",1,"Tamkeri",86,1
1,563,"Serengeti",1,"Tamkeri",86,1
